SK_ID_CURR,ID,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
215354,5714462,Closed,USD,-497,7,-153.0,-153.0,,1,91323.0,0.0,,0,Consumer credit,-131,
215354,5714463,Active,EUR,-208,14,1075.0,,,1,225000.0,171342.0,,0,Credit card,-20,
215354,5714464,Active,GBP,-203,21,528.0,,,2,464323.5,,,0,Consumer credit,-16,
215354,5714465,Active,UAH,-203,30,,,,1,90000.0,,,0,Credit card,-16,
215354,5714466,Active,USD,-629,45,1197.0,,77674.5,0,2700000.0,,,0,Consumer credit,-21,
215354,5714467,Active,EUR,-273,60,27460.0,,0.0,0,180000.0,71017.38,108982.62,0,Credit card,-31,
215354,5714468,Active,GBP,-43,5,79.0,,0.0,0,42103.8,42103.8,0.0,0,Consumer credit,-22,
162297,5714469,Closed,UAH,-1896,10,-1684.0,-1710.0,14985.0,0,76878.45,0.0,0.0,0,Consumer credit,-1710,
162297,5714470,Closed,USD,-1146,20,-811.0,-840.0,0.0,0,103007.7,0.0,0.0,0,Consumer credit,-840,
162297,5714471,Active,EUR,-1146,0,-484.0,,0.0,0,4500.0,0.0,0.0,0,Credit card,-690,
162297,5714472,Active,GBP,-1146,0,-180.0,,0.0,0,337500.0,0.0,0.0,0,Credit card,-690,
162297,5714473,Closed,UAH,-2456,0,-629.0,-825.0,,0,675000.0,0.0,0.0,0,Consumer credit,-706,
162297,5714474,Active,USD,-277,10,5261.0,,500.0,0,7033500.0,,,140,Mortgage,-31,
402440,5714475,Active,EUR,-96,0,269.0,,0.0,0,89910.0,76905.0,0.0,0,Consumer credit,-22,
238881,5714482,Closed,GBP,-318,0,-187.0,-187.0,,0,0.0,0.0,0.0,0,Credit card,-185,
